win=1, run=1, gen=42, effort=171252, S=434
win=2, run=1, gen=10, effort=43558, S=178
win=3, run=1, gen=28, effort=112880, S=374
win=4, run=1, gen=23, effort=95644, S=256
win=5, run=1, gen=23, effort=93314, S=372
win=6, run=1, gen=25, effort=101072, S=228
win=7, run=1, gen=26, effort=104188, S=188
win=8, run=1, gen=8, effort=33131, S=72
win=9, run=1, gen=30, effort=121576, S=1122
win=10, run=1, gen=23, effort=92265, S=376
