win=1, run=1, gen=24, effort=98389, S=423
win=2, run=1, gen=20, effort=83455, S=713
win=3, run=1, gen=18, effort=74992, S=201
win=4, run=1, gen=20, effort=83308, S=145
win=5, run=2, gen=15, effort=267583, S=211
win=6, run=1, gen=50, effort=203450, S=451
win=7, run=1, gen=28, effort=114781, S=621
win=8, run=1, gen=21, effort=87288, S=239
win=9, run=2, gen=31, effort=331742, S=563
win=10, run=1, gen=35, effort=141491, S=515
