win=1, run=2, gen=14, effort=263218, S=173
win=2, run=2, gen=11, effort=251604, S=225
win=3, run=1, gen=22, effort=91731, S=416
win=4, run=1, gen=13, effort=54410, S=157
win=5, run=1, gen=32, effort=129091, S=265
win=6, run=1, gen=14, effort=56471, S=100
win=7, run=1, gen=16, effort=65041, S=241
win=8, run=2, gen=17, effort=274620, S=262
win=9, run=1, gen=7, effort=28644, S=85
win=10, run=1, gen=40, effort=162270, S=494
