win=1, run=2, gen=16, effort=268085, S=123
win=2, run=2, gen=13, effort=257850, S=155
win=3, run=1, gen=9, effort=37182, S=295
win=4, run=1, gen=13, effort=52059, S=313
win=5, run=1, gen=8, effort=33185, S=209
win=6, run=1, gen=10, effort=43089, S=155
win=7, run=1, gen=10, effort=41689, S=93
win=8, run=1, gen=11, effort=47329, S=191
win=9, run=1, gen=7, effort=31200, S=53
win=10, run=1, gen=16, effort=66670, S=169
