   Compiling gp v0.1.0 (/home/chris/projects/rust/gp)
    Finished release [optimized] target(s) in 1.82s
     Running `target/release/gp`
CURRENT NUM THREADS= 8
Run #1
num hits=40
   gen tfid tcid   hits      r      s        a        n      nfr avgRawF
    36 7999 7577     77      1      1 0.500000 0.000280 1.000067  74.78
    37 7999 7959     77      1      1 0.500000 0.000235 0.999994  75.34
    38 7999 7999     77      1      1 0.500000 0.000205 1.000009  75.71
    39 7999 7993     77      1      1 0.500000 0.000169 0.999975  76.15
    40 7999 7996     77      1      1 0.500000 0.000151 0.999939  76.40
    41 7999 7999     77      1      1 0.500000 0.000151 1.000056  76.40
    42 7999 7999     77      1      1 0.500000 0.000151 1.000052  76.47
    43 7999 7998     77      1      1 0.500000 0.000150 1.000090  76.44
    44 7999 7999     77      1      1 0.500000 0.000152 0.999947  76.40
    45 7999 7999     77      1      1 0.500000 0.000151 1.000070  76.38
    46 7999 7999     77      1      1 0.500000 0.000152 0.999972  76.40
    47 7999 7999     77      1      1 0.500000 0.000151 1.000066  76.39
    48 7999 7999     77      1      1 0.500000 0.000150 0.999973  76.46
    49 7999 7999     77      1      1 0.500000 0.000150 1.000097  76.46
    50 7999 7999     77      1      1 0.500000 0.000151 0.999920  76.47
Run #3
num hits=43
   gen tfid tcid   hits      r      s        a        n      nfr avgRawF
  ----  ---  ---  -----    ---    ---   ------   ------   ------
     0 7999 7932     35     43     43 0.022727 0.000145 1.000057  62.16
     1 7999 7608     39     39     39 0.025000 0.000147 0.999984  75.78
     2 7999 6921     39     39     39 0.025000 0.000147 1.000042  75.06
     3 7999 5378     41     37     37 0.026316 0.000154 1.000057  70.38
     4 7999 7973     45     33     33 0.029412 0.000170 0.999949  51.51
     5 7999 3335     50     28     28 0.034483 0.000190 1.000035  37.65
     6 7999 5981     51     27     27 0.035714 0.000185 1.000005  40.79
     7 7999 7615     52     26     26 0.037037 0.000182 0.999963  42.99
     8 7999 2614     53     25     25 0.038462 0.000175 1.000015  45.56
     9 7999 6538     55     23     23 0.041667 0.000177 0.999960  47.74
    10 7999 4781     57     21     21 0.045455 0.000178 0.999926  50.64
    11 7999 4138     58     20     20 0.047619 0.000176 1.000039  52.68
    12 7999 5468     59     19     19 0.050000 0.000174 0.999941  54.52
    13 7999 7798     59     19     19 0.050000 0.000162 0.999970  55.87
    14 7999 4592     61     17     17 0.055556 0.000171 1.000050  56.85
    15 7999 7803     62     16     16 0.058824 0.000173 1.000030  58.09
    16 7999 7753     62     16     16 0.058824 0.000166 1.000127  59.50
    17 7999 7282     64     14     14 0.066667 0.000182 1.000084  60.35
    18 7999 4180     64     14     14 0.066667 0.000174 1.000054  61.08
    19 7999 7230     66     12     12 0.076923 0.000190 1.000092  61.75
    20 7999 2762     67     11     11 0.083333 0.000198 0.999903  62.63
    21 7999 7191     68     10     10 0.090909 0.000207 0.999926  63.43
    22 7999 7944     68     10     10 0.090909 0.000195 1.000005  64.33
    23 7999 7650     68     10     10 0.090909 0.000184 0.999914  65.29
    24 7999 3288     70      8      8 0.111111 0.000207 0.999920  66.20
    25 7999 7112     70      8      8 0.111111 0.000193 0.999944  67.16
    26 7999 6330     71      7      7 0.125000 0.000203 0.999999  67.89
    27 7999 6531     72      6      6 0.142857 0.000226 1.000077  68.44
    28 7999 6923     72      6      6 0.142857 0.000215 1.000062  68.92
    29 7999 7915     72      6      6 0.142857 0.000198 0.999963  69.72
    30 7999 7860     72      6      6 0.142857 0.000185 1.000014  70.30
    31 7999 6942     73      5      5 0.166667 0.000205 0.999981  70.98
    32 7999 1282     74      4      4 0.200000 0.000229 0.999882  71.54
    33 7999 7867     74      4      4 0.200000 0.000222 0.999986  71.82
    34 7999 6661     74      4      4 0.200000 0.000219 0.999975  71.85
    35 7999 7890     74      4      4 0.200000 0.000215 0.999934  71.97
    36 7999 6792     75      3      3 0.250000 0.000251 0.999988  72.36
    37 7999 6000     75      3      3 0.250000 0.000231 0.999968  72.90
    38 7999 7982     75      3      3 0.250000 0.000208 1.000002  73.36
    39 7999 7976     75      3      3 0.250000 0.000195 1.000009  73.62
    40 7999 3738     76      2      2 0.333333 0.000245 1.000000  73.85
    41 7999 7868     76      2      2 0.333333 0.000224 1.000085  74.34
    42 7999 7968     76      2      2 0.333333 0.000214 1.000070  74.48
    43 7999 7996     76      2      2 0.333333 0.000209 1.000066  74.56
    44 7999 7722     77      1      1 0.500000 0.000294 1.000021  74.78
    45 7999 7503     77      1      1 0.500000 0.000258 1.000053  75.21
    46 7999 7729     77      1      1 0.500000 0.000242 0.999924  75.41
    47 7999 7994     77      1      1 0.500000 0.000234 0.999991  75.53
win=1, run=3, gen=48, effort=1206462, S=438
num hits=78
tfid tcid   hits      r      s        a        n      nfr
 ---  ---  -----    ---    ---   ------   ------   ------
   0    0     78      0      0 1.000000 -1.000000 -1.000000  -1.00
-------------tree (None/0)----------------
nFunctions = Some(234)
nTerminals= Some(204)

-------------------

Function Def ADF0:

(NOT
  (AND
    (NOT
      (AND NE NE))
    (OR
      (OR
        (NOT
          (AND
            (NOT
              (AND NE NE))
            (OR
              (OR
                (NOT SW)
                (AND S W))
              (OR
                (NOT W)
                (OR S X)))))
        (AND S W))
      (OR
        (NOT W)
        (OR S X))))
)
-------------------

Function Def ADF1:
 SW
