win=1, run=2, gen=15, effort=266630, S=142
win=2, run=2, gen=17, effort=273029, S=349
win=3, run=1, gen=16, effort=65279, S=114
win=4, run=1, gen=32, effort=128891, S=361
win=5, run=1, gen=12, effort=51296, S=110
win=6, run=1, gen=24, effort=97703, S=442
win=7, run=1, gen=31, effort=124799, S=423
win=8, run=1, gen=15, effort=61635, S=97
win=9, run=1, gen=11, effort=45483, S=343
win=10, run=1, gen=27, effort=109424, S=317
