win=1, run=1, gen=13, effort=52287, S=109
win=2, run=1, gen=12, effort=51233, S=45
win=3, run=2, gen=2, effort=215147, S=43
win=4, run=1, gen=19, effort=77187, S=133
win=5, run=1, gen=17, effort=69790, S=181
win=6, run=2, gen=10, effort=244805, S=107
win=7, run=1, gen=13, effort=53302, S=135
win=8, run=1, gen=21, effort=85860, S=209
win=9, run=1, gen=7, effort=31631, S=35
win=10, run=1, gen=30, effort=121946, S=107
