win=1, run=1, gen=27, effort=108747, S=772
win=2, run=1, gen=50, effort=202585, S=1012
win=3, run=1, gen=20, effort=80858, S=274
win=4, run=1, gen=25, effort=100981, S=458
win=5, run=1, gen=20, effort=83502, S=1200
win=6, run=1, gen=24, effort=96074, S=446
win=7, run=1, gen=6, effort=24271, S=60
win=8, run=1, gen=30, effort=123311, S=1138
win=9, run=1, gen=40, effort=162071, S=778
win=10, run=1, gen=27, effort=108117, S=1218
