win=1, run=1, gen=32, effort=129430, S=312
win=2, run=1, gen=13, effort=53331, S=110
win=3, run=2, gen=9, effort=243324, S=102
win=4, run=1, gen=12, effort=51694, S=174
win=5, run=1, gen=2, effort=11342, S=30
win=6, run=1, gen=6, effort=27141, S=58
win=7, run=1, gen=21, effort=86145, S=192
win=8, run=1, gen=34, effort=136895, S=138
win=9, run=1, gen=16, effort=67956, S=90
win=10, run=1, gen=19, effort=79332, S=228
