win=1, run=4, gen=29, effort=2928000
win=2, run=6, gen=24, effort=4480000
win=3, run=8, gen=39, effort=6352000
win=4, run=9, gen=47, effort=7296000
win=5, run=10, gen=34, effort=7904000
win=6, run=11, gen=29, effort=8640000
win=7, run=13, gen=26, effort=10224000
win=8, run=15, gen=27, effort=11872000
win=9, run=17, gen=27, effort=13504000
win=10, run=18, gen=48, effort=14656000
