win=1, run=1, gen=10, effort=43650, S=65
win=2, run=1, gen=6, effort=27094, S=131
win=3, run=2, gen=8, effort=239685, S=221
win=4, run=1, gen=14, effort=56408, S=153
win=5, run=3, gen=21, effort=493940, S=738
win=6, run=1, gen=20, effort=83797, S=186
win=7, run=1, gen=39, effort=157743, S=650
win=8, run=2, gen=25, effort=304066, S=580
win=9, run=3, gen=11, effort=453464, S=261
win=10, run=1, gen=11, effort=45001, S=297
