win=1, run=1, gen=25, effort=100937, S=196
win=2, run=1, gen=18, effort=75784, S=459
win=3, run=1, gen=27, effort=110274, S=265
win=4, run=1, gen=13, effort=53128, S=167
win=5, run=1, gen=13, effort=52824, S=240
win=6, run=1, gen=19, effort=79385, S=280
win=7, run=1, gen=11, effort=44898, S=216
win=8, run=1, gen=14, effort=57919, S=195
win=9, run=1, gen=11, effort=45781, S=281
win=10, run=1, gen=26, effort=105173, S=359
