win=1, run=1, gen=25, effort=103466, S=200
win=2, run=2, gen=9, effort=240444, S=398
win=3, run=1, gen=50, effort=200816, S=510
win=4, run=1, gen=16, effort=67276, S=434
win=5, run=1, gen=8, effort=32370, S=154
win=6, run=1, gen=15, effort=60836, S=150
win=7, run=1, gen=12, effort=49406, S=222
win=8, run=1, gen=25, effort=100903, S=174
win=9, run=1, gen=20, effort=81335, S=96
win=10, run=1, gen=23, effort=92149, S=304
