win=1, run=1, gen=11, effort=44554, S=124
win=2, run=1, gen=12, effort=49855, S=119
win=3, run=1, gen=21, effort=87203, S=393
win=4, run=1, gen=25, effort=103329, S=885
win=5, run=1, gen=8, effort=32372, S=130
win=6, run=1, gen=43, effort=172945, S=362
win=7, run=1, gen=26, effort=105468, S=470
win=8, run=1, gen=18, effort=72512, S=131
win=9, run=1, gen=16, effort=66246, S=879
win=10, run=2, gen=15, effort=265174, S=194
