win=1, run=1, gen=28, effort=112920, S=230
win=2, run=2, gen=13, effort=258502, S=210
win=3, run=1, gen=14, effort=56078, S=272
win=4, run=1, gen=26, effort=105862, S=266
win=5, run=1, gen=8, effort=34223, S=256
win=6, run=1, gen=10, effort=43746, S=60
win=7, run=1, gen=11, effort=47476, S=172
win=8, run=1, gen=10, effort=40728, S=256
win=9, run=1, gen=10, effort=41310, S=192
win=10, run=1, gen=17, effort=68549, S=160
